,text,label
0,['இது என்ன இன்று முளைத்த சொல்லலா இல்லை நூற்றாண்டு காலத்திற்கு முன்பு நண்பர்கள் எங்கு குழம்பி நின்றார்களோ அன்று முளைத்த சொல் நான்கு நண்பர்கள் குழம்பி நிற்கும் பொது முதல் ஓல் வரும் அதுதான் மங்கள ஓல். மங்கள ஓல் அது ஒரு தூண்டுகோல் அது நான்கு ஐந்து துணை ஓல்களை உருவாகும். இந்த ஐந்து ஆறு நண்பர்களில் முதலில் ஒருவன் சொல்வான் நான் அவளை நேத்தே போட்டுட்டேன் என்று. எதை பார்த்து காஜூ உண்டாகி இன்னோருத்தவன் சொல்வான் நான் அவளை ஒரு வருஷத்துக்கு முன்னாடியே போட்டுட்டேன் என்று. அதை பார்த்து இன்னோருத்தவன் சொல்வான் நான் அவளை ரெண்டு வருஷத்துக்கு முன்னாடியே போட்டுட்டேன் என்று. யாராவது இவர்கள் சொல்வது பொய் என்று கண்டறிந்துவிட்டால் ஒரு ஓழ்த்துப்பாடலை பாடி அவனை மகிலூட்டுவன். ஓலா ஓலா ஓலா ஓலா ஓலம் அ. நங்கள் எழுதிய பாடல் ஓல் எவ்வளவு நயமாக கையாளப்பட்டு இருக்கிறது என்று கேட்டு தெரிந்து கொள்ளுங்கள். '],[1.]
1,['ஓல் மிகச்சாதாரணமாக வருவது கிடையாது. சில சந்தர்ப்ப சூழ்நிலை கைகொடுக்கும். உதாரணமாக நா நண்பனிடம் காசுக்கேட்டால் ஓல் வரும். நா காசு கேப்பேன் அவன் என் காதை கேப்பான். நான் அதிகபச்சமாக ஐநூறு ரூபாய் கேட்டு இருப்பேன் அவன் அப்பாவுக்கு உடம்பு சரி இல்ல தங்கச்சிக்கு காது கேக்கல அம்மாவுக்கு கண்ணு தெரியல மாமாவுக்கு காலு வெளங்களை காசு இல்லை என்பான். திட்டத்தட்ட மொத குடும்பத்தையும் ஸ்ஓம்பிய மாத்திடுவான். இப்படி அவன் மரண ஓல் போகும்போதெல்லாம் என் காது பாவம். அப்போது எனக்கு நான் எழுதிய கவிதை ஒன்று நியாபகம் வரும் நண்பா ஓ நண்பா என் காது என்ன கூதியா ஓத்து விட்டு போகுறாயே நண்பா ஓ நண்பா காதுகள் பாவம் இல்லையா. '],[1.]
2,['இப்படி வகை துணை இல்லாமல் ஓல் போடும் நண்பனுக்கு துணை பெயர் மிக அதிகம் வாய் ஓல் வெங்கடராமன் பசை ஓல் பரந்தாமன் வெது ஓல் வெண்குடுப்பதி என்ன ஏராளம் எவை அனைத்தும் என்னை சாரும் அதனால் எனக்கு தலை கணம் சற்றும் இருந்தது இல்லை என்பதை இந்த மேடையில் தெளிவு படுத்தி என்னை வாழவைக்கும் ஓளுக்கு எனக்கு மேடை கொடுத்த ஓல் அரங்குக்கு எனது நன்றியை தெரிவித்து கொள்கிறேன். சப்பிசகிரிப் செய்து விடுங்கள் மணியை அமிக்கி விடுங்கள். '],[1.]
3,['இதுல வந்து என்னப்பதி தப்ப பேசுறது இதெல்லாம் வெச்சிகிட்டீங்கனா நான் மதப்பையன் மாதிரி கிடையாது நான் சொல்றதையும் செய்வேன் சொல்லாததையும் செய்வேன் என்கிட்ட எல்லா திறமையம் இருக்கு இதே மாதிரி இந்த ஷீலா கேளடு மூதெய்வி அவ மட்டும் என்ன கைல கிடைச்ச மயிறு அறுத்துருவேன் பாத்துக்க நீ ஒரு பொண்ண உண்ணலாம் எப்படி தான் பெத்தாங்களோ தெரியல கேவலமான பிறவி  இந்த பிறவி மாதிரி நீங்களும் அய்டாதீங்க லவ் பண்ணி எமத்திட ஷீலா அக்கா என்ன என்னக்கு அவங்கள சுத்தமா பிடிக்காது ஷீலா அக்காவ அவுங்க ஒரு கேவலமான கேரக்டர் அதே மாதிரி திவ்யாவும் ஐயோ இன்ஸ்டால யூடூப்ல யாரையும் பாதி பேசமுடியாத நீங்களே சொல்லுங்க யாரு நல்லவங்க சொல்லுங்க நீங்க'],[1.]
4,"['மச்சி பிரசன்னா எப்டி மச்சி, அவன் ஆ தூ, மயிரு குத்தி அவன் மயிரு குத்தி, அவன் ஆ நம்ப முடியது. அவன் ஆ பத்தி பேசுனா வாய் ல அமிலம் ஊத்தி கழுவானும். வாயில இல்ல மச்சி சுத்துல. நா திடுற அவன் ஆ, அவன் ஒரு லூசு குத்தி, தைக்கிள்ளி, ஃப்ளர்ட் நா அவன் ஃப்ளர்ட். அவளோ ஃப்ளர்ட். பொண்ணு ங்க சுத்துல அவன் கேடி. பொண்ணு பொண்ணு, கண்றாவி குதி அவன். கடைசி ல அவன் கேன்சர் ஓ எச்ஐவி ஓ தான் வந்து சாவனும். எச்ஐவி தான் வரணும். அவன் காதலி யாரோ, காதலி லா நம்பதிங்கோ, நா சொல்றேன், அவன் ஆ நம்பி போன சத்தியம் தோல்வி தான். சத்தியம் ஆ சுத்து கிழிச்சிடு விடுவான்.']",[1.]
5,"['வீட்டுல அழகான புது மெத்தை இருந்தும், நெறய பேருக்கு  ஓட்டை விழுந்தா பாய்ல்  ரெஸ்ட் எடுக்க  தான் புடிச்சி இருக்கு. உங்கலுக்கு டைட்டில் ல இருந்தே புரிஞ்சி இருக்கும் நான் என்ன சொல்ல வரேன் னு. புரியாத மக்கு சாம்புரானிங்க தயவு செஞ்சி இந்த வீடியோ பாக்க வேண்டாம் . பொண்ணுங்க வயசு ஆக ஆக நல்ல கும்முனு இருப்பாங்க, அதுனாலயோ என்னமோ பசங்க வண்டியா அந்த பக்கம் ஆ திருப்பிடுறாங்க. கும்முனு இருந்தா மட்டும் போதும் ஆ? வயசு ஆக ஆக உள்ள இருக்க சுபைர் பார்ட்ஸ்  எல்லாம் ரிப்பேர் ஆயிடும். அது தெரியாம பசங்க ஓட்ட வண்டிய ஹை ஸ்பீட் ல ஓட்டணும் னு நெனைச்சா நேராக ஆ விபத்து தா']",[1.]
6,['ரோட்ல நடந்து போகும்போது வழுக்கி விழுந்து விட்டான். யாரும் பார்ப்பதற்கு முன்னாடி இருந்த வேண்டும். இந்த இரண்டு வரைக்கும் நன்றாக ஞாபகம் வைத்துக்கொள்ளுங்கள். வாழ்க்கையில் எந்த கஷ்டம் வந்தாலும் நீங்கள் கம்பீரமாக இருப்பீர்கள். ழஒவ்ட் இல் நடந்து போகும்போது வழுக்கி விழுந்து விட்டோம் என்றால் யாரும் பார்ப்பதற்கு முன்னாடி இருந்து விட்டு விடுவோம். ஏன் ஏனென்றால் அதற்கு நமக்கு அவமானம். வாழ்க்கையில் வழுக்கி விழுந்து விட்டால் எல்லாரும் பார்க்கிற மாதிரி எழுந்திரிக்க வேண்டும். அதுதான் நம் அடையாளம் சொல்லி தட்டி தூக்குவோம் வெற்றியை'],[1.]
7,"['ஆங். நம் ஸஸைஅடி யில் எப்போதுமே ஒரு விஷயம் உண்டு. யாரையாவது மட்டம் தட்டி கொண்டே இருப்பார்கள். ஒரு சில பேர் நம்முடைய இலக்கியத் உ அதன் முக்கியம் பயணிக்க வேண்டும். அதை தவிர்த்து நாம் இன்னொரு இடத்தில் டழவல் பண்ணும்போது, கண்டிப்பாக நாம் டழக் மாறும். ஆங் நீ ஒரு கம்ழ மனாக வேண்டும் என்றால், உன்னுடைய உன்னுடைய பொவ்கஸ் ஃபுல் ஸ்க்ழின் கம்ழமன் கம்ழமன். அதை நோக்கி தான் போ, அதை தாண்டி கொஞ்சம் செதறுனா கூட நம்மளை பார்ப்பவர்கள் உன்னை கம்ழமன் பார்க்கமாட்டார்கள். ஒரு வெடிங் பட்ஆகழபி தான் பார்ப்பார்கள் இல்லை அந்த மாதிரி தான் பார்ப்பார்கள் ஸொவ் நம் வாழ்க்கையை எதை நோக்கி கொண்டு போகிறோம்? இந்த சமுதாயத்தில் நாம் யாரும் நிரூபிக்க வேண்டும். நம் வாழ்க்கையில் எவ்வளவுக்கு எவ்வளவு கஷ்டப்படுகிறோம் அவ்வளவிற்கு அவ்வளவு நாம் அடுத்த லெவ்ல்க்கு போய்க்கொண்டு இருக்கிறோம். ஸொவ் முயற்சியை மட்டும் போய்விடாதீர்கள்.']",[1.]
8,"[""தான் ஆண்டுகள் தன் வாழ்க்கையிலே கடின உழைப்பை கொட்ட தயாராக இல்லாதவன் வாழ்க்கையில் மேல வரவே முடியாது. அது எந்த துறையா இருந்தா சரிதான். ஸ்டாழ்டிங் மிடிஅ பாலடிக்ஸ் ஸயன்ஸ் டெக்னாலஜி ஏதாவது டென் யிழ்ஜ் கொவ்வ்ழ்ட் பண்ணனும். ஹாழ்ட் வ்ழ்க் பண்ணவேண்டும். எந்த பிரதிபலனை பார்க்காமல் வ்ழ்க் பண்ணவேண்டும். அட போங்கடா ஏற்கனவே நாங்கள் கஷ்டப்பட்டு படித்து வந்திருக்கிறேன். டைடாக இருக்க கூடாது என்று ஒண்ணுமே கிடையாது. ஒரு துவக்கம் என்பது எப்போதுமே டைழடாக இருக்கும். ஸ'க்ஸ்எஸ் மட்ழ் கிடையாது. ஸ'க்ஸ்எஸ் ழிடெய்ல் பண்ணுவது தான் விஷயம். ஒரு வேலைக்கு போவது பெரிய விஷயமே கிடையாது. அடுத்து நாலு பேருக்கு வேலை வாய்ப்பை உருவாக்க வேண்டும் என்ற தவிப்போடு நீங்கள் ஓட வேண்டும் என்பது தான் விஷயம்.""]",[1.]
9,"['பொய் சொல்லாத திருடாத பொறாமை படாத அடுத்தவன் பொருளுக்கு ஆசைப்படாத என்பதுதான் வாழ்க்கையின் முதல் படிப்பு. ஆனால் தேர்வு இந்த கோட்டுக்குள்ள வந்த பிறகு படித்த, பத்து வருடம் உங்களோடு பழகிய நண்பன் நம் பொய் சொல்லும் உங்களுக்கு எப்படி மனசு? நான் படிக்கவே இல்லை என்றால் படிக்கவே இல்ல. டி என்று சொன்னீர்களே, அது எவ்வளவு பெரிய பாவம் இல்லையா? வெற்றி நீங்கள் இப்போது எப்படி நாம் நினைத்துக் கொள்ளவேண்டும்? யாரோ ஒருவனை தோற்கடிப்பதை பெயர் வெற்றி நினைக்கும் கிடையாது. எல்லோருமாக சேர்ந்து ஜெயிப்பது தான் வெற்றி. அடுத்தவனை தோற்கடிப்பது வெற்றி. யாரு ஜெயித்தால் நம்ம ஜெயித்தது தான் சேர்ந்து செய்யுறேன். யாரோ ஒருவரை தேள்கொடுக்கு, ஜெயிக்கிறது என்றால் கஷ்டம், நானே ஜெயிப்பதற்கு படிக்கிறேன் என்று சந்தோஷம் இல்லையா? அவன் தோத்தா தான் நான் ஜெயிப்பேன் என்றால் அவன் என்னுடைய வெற்றி என்பது இன்னொரு னுடைய கட்டுப்பாட்டிற்குள் இருக்கிறது. அப்படி பார்க்கும் போது அதனுடைய தோல்வி வழியாகத்தான் வெற்றியடைய என்று நினைக்காதீர்கள், தயவு செய்து படித்தால் படித்தேன் என்று சொல்லுங்கள், படிக்கவில்லை, படிக்கவில்லை என்று சொல்லுங்கள், நான் படிக்கவில்லை என்று சொன்னால் நீ இதை படி உனக்கு பரீட்சைகள் வேலை வாய்ப்பு இருக்கு என்று சொல்லிக் கொடுக்கிறது. தப்பு இல்லை, அடுத்தவனுக்கு சொல்லிக்கொடுக்கின்றோம், என்னைக்குமே ஜெயிப்பான்.']",[1.]
